query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
PPGIJJGB_00305,1448139.AI20_20915,2.07e-80,239.0,"COG0251@1|root,COG0251@2|Bacteria,1MZ3J@1224|Proteobacteria,1S5XS@1236|Gammaproteobacteria,1Y4GR@135624|Aeromonadales",2|Bacteria,J,Endoribonuclease L-PSP,-,-,3.5.99.10,ko:K09022,-,-,"R11098,R11099","RC03275,RC03354","ko00000,ko01000",-,-,-,Ribonuc_L-PSP
PPGIJJGB_00306,1448139.AI20_20920,1.89e-87,257.0,"COG1553@1|root,COG1553@2|Bacteria,1N021@1224|Proteobacteria,1S99J@1236|Gammaproteobacteria,1Y4PY@135624|Aeromonadales",2|Bacteria,P,DsrE/DsrF-like family,tusD,"GO:0002097,GO:0002098,GO:0002143,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006790,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016782,GO:0016783,GO:0019417,GO:0032991,GO:0034227,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046483,GO:0055114,GO:0071704,GO:0090304,GO:0097163,GO:0140104,GO:1901360,GO:1902494,GO:1990228,GO:1990234",-,ko:K07235,"ko04122,map04122",-,-,-,"ko00000,ko00001,ko01000,ko03016",-,-,-,DrsE
PPGIJJGB_00307,1448139.AI20_20925,8.03e-81,239.0,"COG2923@1|root,COG2923@2|Bacteria,1N8RV@1224|Proteobacteria,1SD0S@1236|Gammaproteobacteria,1Y4KS@135624|Aeromonadales",2|Bacteria,P,Belongs to the DsrF TusC family,tusC,"GO:0002097,GO:0002098,GO:0002143,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034227,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1902494,GO:1990228,GO:1990234",-,ko:K07236,"ko04122,map04122",-,-,-,"ko00000,ko00001,ko03016",-,-,-,DrsE
PPGIJJGB_00308,1448139.AI20_20930,1.52e-57,178.0,"COG2168@1|root,COG2168@2|Bacteria",2|Bacteria,P,tRNA wobble position uridine thiolation,tusB,"GO:0002097,GO:0002098,GO:0002143,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034227,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1902494,GO:1990228,GO:1990234",-,ko:K07237,"ko04122,map04122",-,-,-,"ko00000,ko00001,ko03016",-,-,-,DsrH
PPGIJJGB_00309,1448139.AI20_20935,3.89e-84,248.0,"COG0048@1|root,COG0048@2|Bacteria,1RCWY@1224|Proteobacteria,1S3WB@1236|Gammaproteobacteria,1Y4A9@135624|Aeromonadales",2|Bacteria,J,"Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit",rpsL,"GO:0000049,GO:0000372,GO:0000375,GO:0000376,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009058,GO:0009059,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010604,GO:0010628,GO:0015935,GO:0016070,GO:0019219,GO:0019222,GO:0019538,GO:0019843,GO:0022626,GO:0022627,GO:0031323,GO:0031325,GO:0032991,GO:0033120,GO:0034336,GO:0034337,GO:0034641,GO:0034645,GO:0040007,GO:0042221,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043484,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045935,GO:0046483,GO:0046677,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990145,GO:1990904",-,ko:K02950,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosom_S12_S23
PPGIJJGB_00310,1448139.AI20_20940,7.73e-104,300.0,"COG0049@1|root,COG0049@2|Bacteria,1MXC8@1224|Proteobacteria,1RN77@1236|Gammaproteobacteria,1Y3ZD@135624|Aeromonadales",2|Bacteria,J,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA",rpsG,"GO:0000028,GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0015935,GO:0016020,GO:0016043,GO:0017148,GO:0019222,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030312,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032991,GO:0034248,GO:0034249,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065003,GO:0065007,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0080090,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904,GO:2000112,GO:2000113",-,ko:K02992,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S7
PPGIJJGB_00311,1448139.AI20_20945,0.0,1385.0,"COG0480@1|root,COG0480@2|Bacteria,1MUCV@1224|Proteobacteria,1RNSZ@1236|Gammaproteobacteria,1Y3Y0@135624|Aeromonadales",2|Bacteria,J,"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome",fusA,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019538,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02355,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,"EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2"
PPGIJJGB_00312,1448139.AI20_20860,7.3e-289,788.0,"COG0050@1|root,COG0050@2|Bacteria,1MVC0@1224|Proteobacteria,1RMYX@1236|Gammaproteobacteria,1Y3XP@135624|Aeromonadales",2|Bacteria,J,This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis,tuf,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019538,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042221,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046677,GO:0050896,GO:0071704,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02358,-,-,-,-,"ko00000,ko03012,ko03029,ko04147",-,-,-,"GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3"
PPGIJJGB_00313,1448139.AI20_20955,1.45e-131,372.0,"COG0241@1|root,COG0241@2|Bacteria,1RDGR@1224|Proteobacteria,1S3UD@1236|Gammaproteobacteria,1Y4AH@135624|Aeromonadales",2|Bacteria,E,"1,7-bisphosphate phosphatase",gmhB,"GO:0000271,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006139,GO:0006629,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009225,GO:0009226,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016043,GO:0016051,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0018130,GO:0019438,GO:0033692,GO:0034200,GO:0034637,GO:0034641,GO:0034645,GO:0034654,GO:0042578,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045226,GO:0045227,GO:0045229,GO:0045230,GO:0046379,GO:0046401,GO:0046483,GO:0046872,GO:0046914,GO:0055086,GO:0071704,GO:0071840,GO:0097170,GO:0097171,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901576,GO:1903509","3.1.3.15,3.1.3.82,3.1.3.83,4.2.1.19,6.3.2.10","ko:K01089,ko:K01929,ko:K03273","ko00300,ko00340,ko00540,ko00550,ko01100,ko01110,ko01230,ko01502,map00300,map00340,map00540,map00550,map01100,map01110,map01230,map01502","M00026,M00064","R03013,R03457,R04573,R04617,R05647,R09771","RC00017,RC00064,RC00141,RC00932","ko00000,ko00001,ko00002,ko01000,ko01005,ko01011",-,-,"iB21_1397.B21_00198,iEC55989_1330.EC55989_0198,iECBD_1354.ECBD_3418,iECB_1328.ECB_00199,iECD_1391.ECD_00199,iECIAI1_1343.ECIAI1_0202,iECO103_1326.ECO103_0200,iECSE_1348.ECSE_0202,iETEC_1333.ETEC_0196,iEcHS_1320.EcHS_A0204,iEcolC_1368.EcolC_3459,iIT341.HP0860","HAD_2,Hydrolase_like"
PPGIJJGB_00320,1448139.AI20_20985,6.3e-81,239.0,"COG0662@1|root,COG0662@2|Bacteria,1QUHG@1224|Proteobacteria,1T1Z6@1236|Gammaproteobacteria,1Y4VG@135624|Aeromonadales",2|Bacteria,G,Cupin domain,-,-,-,ko:K11312,-,-,-,-,ko00000,-,-,-,Cupin_2
PPGIJJGB_00321,1448139.AI20_20990,3.72e-300,822.0,"COG2252@1|root,COG2252@2|Bacteria,1MUV0@1224|Proteobacteria,1RMBE@1236|Gammaproteobacteria,1Y3XN@135624|Aeromonadales",2|Bacteria,S,Permease family,pbuG,"GO:0000166,GO:0003674,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008144,GO:0008150,GO:0016020,GO:0016021,GO:0017076,GO:0022857,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K06901,-,-,-,-,"ko00000,ko02000",2.A.1.40,-,-,Xan_ur_permease
PPGIJJGB_00322,1448139.AI20_20995,8.43e-262,716.0,"COG2376@1|root,COG2376@2|Bacteria,1MVSR@1224|Proteobacteria,1RNRQ@1236|Gammaproteobacteria",2|Bacteria,G,Dihydroxyacetone kinase,dhaK,"GO:0003674,GO:0003824,GO:0004371,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006066,GO:0006071,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016052,GO:0016070,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018130,GO:0019219,GO:0019222,GO:0019400,GO:0019405,GO:0019438,GO:0019563,GO:0019637,GO:0019751,GO:0031323,GO:0031326,GO:0032774,GO:0033554,GO:0034308,GO:0034641,GO:0034645,GO:0034654,GO:0042180,GO:0042182,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044262,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046164,GO:0046174,GO:0046365,GO:0046483,GO:0047324,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0061610,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:1901135,GO:1901360,GO:1901362,GO:1901575,GO:1901576,GO:1901615,GO:1901616,GO:1903506,GO:2000112,GO:2001141","2.7.1.121,2.7.1.28,2.7.1.29,4.6.1.15","ko:K00863,ko:K05878","ko00051,ko00561,ko00680,ko01100,ko01120,ko01200,ko04622,map00051,map00561,map00680,map01100,map01120,map01200,map04622",M00344,"R01011,R01012,R01059","RC00002,RC00015,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,"iEcHS_1320.EcHS_A1304,iUMNK88_1353.UMNK88_1515,iYL1228.KPN_03495","Dak1,Dak2"
PPGIJJGB_00323,1448139.AI20_21000,6.16e-145,409.0,"COG1461@1|root,COG1461@2|Bacteria,1MXIB@1224|Proteobacteria,1RPJ7@1236|Gammaproteobacteria",2|Bacteria,S,Dihydroxyacetone kinase,dhaL,"GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0004371,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006066,GO:0006071,GO:0006793,GO:0006796,GO:0008144,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016052,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019400,GO:0019405,GO:0019563,GO:0019751,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043531,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046164,GO:0046174,GO:0046872,GO:0047324,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901575,GO:1901615,GO:1901616","2.7.1.121,2.7.1.28,2.7.1.29,4.6.1.15","ko:K00863,ko:K05879","ko00051,ko00561,ko00680,ko01100,ko01120,ko01200,ko04622,map00051,map00561,map00680,map01100,map01120,map01200,map04622",M00344,"R01011,R01012,R01059","RC00002,RC00015,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,iECUMN_1333.ECUMN_1495,Dak2
PPGIJJGB_00324,1448139.AI20_21005,9.51e-152,428.0,"COG1925@1|root,COG3412@1|root,COG1925@2|Bacteria,COG3412@2|Bacteria,1QZK2@1224|Proteobacteria,1T490@1236|Gammaproteobacteria,1Y6CD@135624|Aeromonadales",2|Bacteria,G,PTS system fructose IIA component,dhaM,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006476,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008643,GO:0009401,GO:0009987,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0018193,GO:0018205,GO:0019213,GO:0019538,GO:0031224,GO:0033554,GO:0033558,GO:0034983,GO:0035601,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0047324,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0071702,GO:0071704,GO:0098732,GO:0140096,GO:1901564","2.7.1.121,2.7.1.202,2.7.3.9","ko:K02768,ko:K02784,ko:K05881,ko:K08483,ko:K08485,ko:K11183,ko:K11189","ko00051,ko00561,ko01100,ko01120,ko02060,map00051,map00561,map01100,map01120,map02060",M00273,"R01012,R03232","RC00015,RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.2.1,8.A.7,8.A.8.1.1",-,"iECs_1301.ECs1703,iSF_1195.SF1201,iS_1188.S1285,iUTI89_1310.UTI89_C1391,iZ_1308.Z1969","EIIA-man,PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C,PTS-HPr"
PPGIJJGB_00325,380703.AHA_4005,3.96e-253,695.0,"COG0371@1|root,COG0371@2|Bacteria,1MWAE@1224|Proteobacteria,1RN9F@1236|Gammaproteobacteria,1Y5GQ@135624|Aeromonadales",2|Bacteria,C,Iron-containing alcohol dehydrogenase,gldA,-,"1.1.1.261,1.1.1.6","ko:K00005,ko:K00096","ko00561,ko00564,ko00640,ko01100,map00561,map00564,map00640,map01100",-,"R01034,R05679,R05680,R10715,R10717","RC00029,RC00117,RC00670","ko00000,ko00001,ko01000",-,-,-,Fe-ADH
PPGIJJGB_00326,1448139.AI20_21015,0.0,1226.0,"COG3284@1|root,COG3284@2|Bacteria,1NRG5@1224|Proteobacteria,1RQQD@1236|Gammaproteobacteria",2|Bacteria,KQ,Positively regulates the dhaKLM operon from a sigma-70 promoter,dhaR,"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005524,GO:0005975,GO:0006066,GO:0006071,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008134,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0017076,GO:0018130,GO:0019219,GO:0019222,GO:0019400,GO:0019438,GO:0019751,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044271,GO:0044281,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901615,GO:1903506,GO:2000112,GO:2001141",-,"ko:K05880,ko:K21405",-,-,-,-,"ko00000,ko03000",-,-,-,"GAF,GerE,HTH_8,PAS,Sigma54_activat"
PPGIJJGB_00327,1448139.AI20_21020,4.06e-212,586.0,"COG0583@1|root,COG0583@2|Bacteria,1R4RN@1224|Proteobacteria,1S0QN@1236|Gammaproteobacteria,1Y6KK@135624|Aeromonadales",2|Bacteria,K,LysR substrate binding domain,-,-,-,ko:K03566,"ko02026,map02026",-,-,-,"ko00000,ko00001,ko03000",-,-,-,"HTH_1,LysR_substrate"
PPGIJJGB_00328,1448139.AI20_21025,4.41e-270,739.0,"COG2957@1|root,COG2957@2|Bacteria,1MX65@1224|Proteobacteria,1RMF1@1236|Gammaproteobacteria,1Y42K@135624|Aeromonadales",2|Bacteria,E,agmatine deiminase,aguA,-,3.5.3.12,ko:K10536,"ko00330,ko01100,map00330,map01100",-,R01416,RC00177,"ko00000,ko00001,ko01000",-,-,-,PAD_porph
PPGIJJGB_00329,1448139.AI20_21030,2.78e-158,444.0,"COG4221@1|root,COG4221@2|Bacteria,1QZVX@1224|Proteobacteria,1T5UB@1236|Gammaproteobacteria",2|Bacteria,S,KR domain,-,-,1.1.1.100,ko:K00059,"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212","M00083,M00572","R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671","RC00029,RC00117","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,"adh_short,adh_short_C2"
PPGIJJGB_00330,1448139.AI20_21035,1.72e-245,676.0,"COG0628@1|root,COG0628@2|Bacteria,1MVX7@1224|Proteobacteria,1RNN1@1236|Gammaproteobacteria,1Y5YD@135624|Aeromonadales",2|Bacteria,S,Pfam:UPF0118,ydiK,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944",-,ko:K03548,-,-,-,-,"ko00000,ko02000",2.A.86.1,-,-,AI-2E_transport
PPGIJJGB_00331,380703.AHA_3999,7.14e-297,814.0,"COG0494@1|root,COG0671@1|root,COG0494@2|Bacteria,COG0671@2|Bacteria,1RK7V@1224|Proteobacteria,1S6KG@1236|Gammaproteobacteria",2|Bacteria,M,Acid phosphatase homologues,mutT,-,"3.1.4.46,3.5.4.33,3.6.1.13,3.6.1.27,3.6.1.55,3.6.1.67","ko:K01126,ko:K01515,ko:K03574,ko:K08310,ko:K11991,ko:K19302","ko00230,ko00550,ko00564,ko00790,map00230,map00550,map00564,map00790",M00126,"R01030,R01054,R01470,R04638,R05627,R10223","RC00002,RC00017,RC00425,RC00477","ko00000,ko00001,ko00002,ko01000,ko01011,ko03016,ko03400",-,-,-,"NUDIX,PAP2"
PPGIJJGB_00332,1448139.AI20_21045,3.43e-79,236.0,"293DQ@1|root,2ZQW5@2|Bacteria,1P4Z4@1224|Proteobacteria,1SVSN@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PPGIJJGB_00333,1448139.AI20_21050,4.15e-185,514.0,"COG0834@1|root,COG0834@2|Bacteria,1RDZV@1224|Proteobacteria,1S9M9@1236|Gammaproteobacteria,1Y5UH@135624|Aeromonadales",2|Bacteria,ET,"Bacterial extracellular solute-binding proteins, family 3",-,-,-,ko:K02030,-,M00236,-,-,"ko00000,ko00002,ko02000",3.A.1.3,-,-,SBP_bac_3
PPGIJJGB_00334,1448139.AI20_21055,9.69e-129,383.0,"2BYBX@1|root,32R32@2|Bacteria,1RHZJ@1224|Proteobacteria,1S7BY@1236|Gammaproteobacteria,1Y5SK@135624|Aeromonadales",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PPGIJJGB_00335,1448139.AI20_21060,1.19e-64,197.0,"2EGG2@1|root,33A83@2|Bacteria,1NHI2@1224|Proteobacteria,1SHG4@1236|Gammaproteobacteria",2|Bacteria,S,Protein of unknown function (DUF1496),-,-,-,-,-,-,-,-,-,-,-,-,DUF1496
PPGIJJGB_00336,1448139.AI20_21065,7.97e-113,323.0,"COG1247@1|root,COG1247@2|Bacteria,1QUGY@1224|Proteobacteria,1T1YJ@1236|Gammaproteobacteria",2|Bacteria,M,COG0454 Histone acetyltransferase HPA2 and related acetyltransferases,yhhY,"GO:0003674,GO:0003824,GO:0004596,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0031248,GO:0031365,GO:0032991,GO:0034212,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050176,GO:0051604,GO:0071704,GO:1901564,GO:1902493,GO:1902494,GO:1990234","2.1.2.9,2.3.1.183","ko:K00604,ko:K03823,ko:K03825","ko00440,ko00670,ko00970,ko01130,map00440,map00670,map00970,map01130",-,"R03940,R08871,R08938","RC00004,RC00026,RC00064,RC00165","ko00000,ko00001,ko01000",-,-,-,"Acetyltransf_1,Acetyltransf_4"
